Entity ID,Name,Symbol,Wikipedia,Industry,Air Quality,Ecological Impacts,Energy Management,GHG Emissions,Water & Hazardous Materials,Waste & Wastewater Management,Access & Affordability,Customer Privacy,Customer Welfare,Data Security,Employee Engagement,Employee Health & Safety,Human Rights & Community Relations,Labor Practices,Product Quality & Safety,Selling Practices & Product Labeling,Business Ethics,Business Model Resilience,Competitive Behavior,Critical Incidence Risk Management,Management of the Legal & Regulatory Environment,Materials Sourcing & Efficiency,Product Design & Lifecycle Management,Physical Impacts of Climate Change,Supply Chain Management,Systemic Risk Management
29,3i Group Plc,III,3i,Financial services,,,0.355,0.355,0.355,,0.355,0.505,,0.355,0.505,,,,,0.355,,,,,,,,,,
30,Admiral Group,ADM,Admiral Group,Insurance,0.355,,0.355,,,0.397,,,0.355,,,,,,,0.505,0.802,0.953,,,,,,,,
1202,Airtel Africa plc,AAF,Airtel Africa,Telecommunications services,,,0.409,,,,0.645,0.492,,,,0.505,,,,,0.699,,,0.727,,,,0.456,0.61,
31,Anglo American Plc,AAL,Anglo American plc,Mining,,0.487,,,,,0.505,0.477,,,,,0.583,,,,,0.73,0.551,,,,0.493,0.724,,
32,Antofagasta plc,ANTO,Antofagasta plc,Mining,0.355,,0.421,,0.355,,,,,0.505,0.505,,0.357,,,,,,,,,,0.618,,0.355,
263,Associated British Foods plc,ABF,Associated British Foods,Food & tobacco,0.355,,0.355,0.505,,,0.606,,,0.505,,,,,0.523,,,0.948,,,,,0.715,,,
35,AstraZeneca plc,AZN,AstraZeneca,Pharmaceuticals & biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Auto Trader Group plc,AUTO,Autotrader Group,Media,0.536,,0.509,,,,,0.867,,,,,,,0.548,,,0.59,0.5,0.466,0.534,,,,,
39,Aviva Plc,AV,Aviva,Life insurance,,,0.594,,,,0.497,0.477,,,,,0.505,,0.644,,,,,0.576,,,0.659,,0.591,
1199,Babcock International Group,BAB,Babcock International,Aerospace & defence,0.505,0.577,,0.706,,,,0.637,,,,,,,0.505,,0.9,,,0.355,,0.355,,,,
40,BAE Systems plc,BA.,BAE Systems,Aerospace & defence,,0.493,,,,,,0.582,,,,0.568,0.66,,,,0.536,,,0.51,,,,,0.666,0.533
41,Barclays plc,BARC,Barclays,Banks,,0.651,,,,,0.583,0.67,,,,,,,,,0.504,0.631,,,0.583,,0.526,,,0.405
42,Barratt Redrow Plc,BTRW,Barratt Redrow,Household goods & home construction,,,,,,0.463,0.505,,,,,,0.509,,0.505,,0.832,0.849,,,0.464,,,0.414,,
368,Beazley plc,BEZ,Beazley,Insurance,0.355,,0.355,,,0.355,0.505,0.453,,,,,0.505,,0.356,,,,,,,,,0.594,,
43,Berkeley Group Holdings plc,BKG,Berkeley Group Holdings,Household goods & home construction,,,0.355,0.355,,0.401,,,,0.355,,0.505,,0.505,,,0.444,,,,,,0.569,,,
1,BP Plc,BP,BP,Oil & gas producers,,,,0.581,,,,,,,,,0.558,,0.59,,0.515,,,,0.428,,,0.759,0.518,0.6
